"","title","review"
"1","판소리 복서","판소리 복서나쁘지않은뎅?한번보세요 "
"2","날씨의 아이","날씨의 아이그냥 너의 이름은 재탕함. 작위적이고 난잡 "
"3","터미네이터: 다크 페이트","터미네이터: 다크 페이트She is back! "
"4","터미네이터: 다크 페이트","터미네이터: 다크 페이트누가봐도 카메룬의 터미네이터네요.내가 그리던 터미네이터가 아니라서 조금은 실망 했어요. "
"5","82년생 김지영","82년생 김지영아무도 주목해주지 않았던, 당연한 줄로만 알았던 어려움에 대해서 이야기해내고 있음 왜 자신들이 힘든 점은 알아주길원하면서 여성들의 고통은 알아보려조차 하지 않는지? "
"6","터미네이터: 다크 페이트","터미네이터: 다크 페이트진짜 2편이후 터미네이터 다운 영화 였습니다. "
"7","82년생 김지영","82년생 김지영"
"8","조커","조커집중하지 않을 수 없다. "
"9","82년생 김지영","82년생 김지영같은 여자로서, 엄마로서 김지영의 삶이 오히려 아름다워 보입니다. 그래서 더 슬프네요. "
"10","82년생 김지영","82년생 김지영논란이길래 봤는데 전혀 논란 될 만한 얘기없었음. 소설, 판타지라고 하는데 공유같은 남편이 존재하는게 판타지라는건가? "
