"","title","review"
"1","터미네이터: 다크 페이트","진짜 페미좀 억지로 묻히면 안되냐??1,2사라코너가 쥔공이라고 페미소리하디? 존코너 망원경씬하나로 카리스마 보여준거랑 비교 개됨ㅋㅋ 여자두 할수있어요 웅앵웅 이거보세요 이런느낌 내인생의 터미네이터는 죽었다"
"2","조커","연기 진짜 잘해요 보고 나오는 순간 여운이 오래갑니다"
"3","언더독","말이 필요없다..^^"
"4","82년생 김지영",""
"5","조커","인간이 미쳐가는 과정을 잘 보여주는, 현 사회의 여러 문제들을 보여주는 아주 훌륭한 영화. 영화 내용이 너무 어두워서 소름이 돋았지만 아주 잘 만든 영화같음."
"6","날씨의 아이","영상미에 놀랐고, 까메오에 놀랐고, OST에 놀랐다."
"7","82년생 김지영",""
"8","터미네이터: 다크 페이트","최고.. 말잇못.. 상영내내 온몸에 긴장이.. 그레이스는 남자신인 배운줄 알았는데 멋진 언니였구 ㅜ 또볼랍니다!"
"9","82년생 김지영","평점이 너무 높아서 주는 1점"
"10","82년생 김지영","공유가 나와서 불만제로"
